accuracy,f1,precision,recall,training_time,n_estimators,max_depth,learning_rate
0.8322,0.833,0.8345,0.8322,8.6919,200,4,0.1
0.8322,0.833,0.8345,0.8322,8.7219,200,4,0.1
0.8322,0.833,0.8345,0.8322,10.328,200,4,0.1
0.8322,0.833,0.8345,0.8322,8.9586,200,4,0.1
0.8322,0.833,0.8345,0.8322,9.0507,200,4,0.1
0.8463,0.8466,0.849,0.8463,8.0618,200,4,0.1
0.8463,0.8466,0.849,0.8463,7.9212,200,4,0.1
0.8449,0.8452,0.8478,0.8449,7.2827,200,4,0.1
0.8463,0.8466,0.849,0.8463,7.8489,200,4,0.1
0.7684,0.7684,0.7691,0.7684,10.4223,200,4,0.1
